Merchant SKU,	Quantity,	Prep owner,	Labeling owner,	Expiration date (MM/DD/YYYY),	Units per box ,	Number of boxes,	Box length (cm),	Box width (cm),	Box height (cm),	Box weight (kg)
FBA-HG-9360117000678,	10,	Seller,	Seller,	,	,	,	,	,	,	
FBA-HG-AF201S,	2,	Seller,	Seller,	,	,	,	,	,	,	
FBA-HG-ro-brushsi500,	2,	Seller,	Seller,	,	,	,	,	,	,	
FBA-HG-MI-HNDLE,	2,	Seller,	Seller,	,	,	,	,	,	,	
FBA-HG-lg-filta9x3-2,	5,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JD-14894,	12,	Seller,	Seller,	,	,	,	,	,	,	
US-FBA-37000015659,	5,	Seller,	Seller,	12/31/2026,	,	,	,	,	,	
FBA-CK-INSPCMIR,	2,	Seller,	Seller,	,	,	,	,	,	,	
FBA-FJ-AE-1500WH-1AVDF,	2,	Seller,	Seller,	,	,	,	,	,	,	
FBA-HG-kit-roomba-Filtx3,	2,	Seller,	Seller,	,	,	,	,	,	,	
FBA-HG-mi-filthy60,	2,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-9321104877116,	2,	Seller,	Seller,	,	,	,	,	,	,	
FBA-MRK-TBCPCH-BROWN,	4,	Seller,	Seller,	,	,	,	,	,	,	
FBA-FJ-AE-1500WH-8B2VDF,	1,	Seller,	Seller,	,	,	,	,	,	,	
FBA-MRK-CIGCASE-LRG-2PK,	3,	Seller,	Seller,	,	,	,	,	,	,	
FBA-HG-dysonadv7-11,	2,	Seller,	Seller,	,	,	,	,	,	,	
FBA-9314783614936,	3,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-071641074873,	11,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-3026980843762,	3,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-818098020325,	6,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-849607058034,	6,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-849607066312,	3,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-9314783614943,	3,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-9330344001564,	12,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-9333527333704,	4,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-9336781013948,	3,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-9414202007452,	3,	Seller,	Seller,	,	,	,	,	,	,	
FBA-JT-9327644038093,	6,	Seller,	Seller,	,	,	,	,	,	,	
