INV No.,UPC,ASIN,LPN,CAT,SUB,Location,Condition,Package Size,NOTES,Sold,Current QTY,QTY's,No in Box,Title,Image Link,Sup Order #,Ship date,Shipped By,Order ID
2850.0,6976135648216,,,SMOKING,,WS5-R3-B,BN,,,5.0,995.0,1000.0,5.0,1 1/4 Size Doob Tube - Assorted,https://www.augoods.com.au/assets/thumb/XN-DOOBTUBE-114-1PK.jpg,,23/06/2024,info.afgretail@gmail.com,
2901.0,30062948,,,,,WS3-R3-C,BN,,,,500.0,500.0,2.0,1 OCB Premium Black Double Papers Regular Size Cigarette Roll Paper 100 Leaves,https://www.augoods.com.au/assets/thumb/CG-OCB-DBLPB-1PK.jpg,,26/05/2024,,
2926.0,30052765,,,,,WS3-R3-B,BN,,,,300.0,300.0,7.0,1 OCB Premium Black Papers 1 1/4 Size Cigarette Roll Paper 50 Leaves,https://www.augoods.com.au/assets/thumb/CG-OCB-114-1PK.jpg,,31/05/2024,,
2657.0,OCB-PBUT-1PK,,30063082,SMOKING,,WS2-R3-A,BN,,,45.0,955.0,1000.0,2.0,1 OCB Premium Black Ultra Thin Rolling Papers Regular Size Cigarette Roll Paper,https://www.augoods.com.au/assets/thumb/MRK-OCB-PBUT-1PK.jpg,,10/03/2025,gabrieladitya2803@gmail.com,N81961
3398.0,VNTI-HEMP-1PK,,,,,WS7-R1-C,BN,Envelope,,,20.0,20.0,2.0,1 Pack of Ventti Original Urban Hemp Papers With Tips (50 Leave Booklet),https://www.augoods.com.au/assets/thumb/MRK-VNTI-HEMP-1PK.jpg,,16/03/2025,,
3198.0,716165280903,,,,,WS4-R5-A,BN,Envelope,,,100.0,100.0,3.0,1 Pack RAW CLASSIC Single Wide Cut Corners Natural 50 Smoking Papers Tobacco,https://www.augoods.com.au/assets/thumb/CG-RAW-SWCTCRN-CL-1PK.jpg,,08/09/2024,,
3366.0,716165178422,,RAW-CL-112-1PK,,,WS0-R6-A,BN,Envelope,,6.0,444.0,450.0,2.0,1 RAW 1 1/2 Papers Classic Natural Unrefined Smoking Tobacco 33 Leaves Booklet,https://www.augoods.com.au/assets/thumb/MRK-RAW-CL-112-1PK.png,,28/03/2025,info.afgretail@gmail.com,"N84040,N84043,N84044,N84047,N84050,N84051,N84052,N84053,N84057,N84057,N84058,N84061,N84062,N84066,N84067,N84068,N84069,N84072,N84073,N84074,N84075,N84079,N84081,N84082,N84084,N84085,N84090,N84093,N84098,N84099,N84100,N84102,N84103,N84104,N84116,N84117,N84120,N84122,N84123,N84127,N84128,N84129,N84130,N84130,N84132"
3298.0,716165251316,,RAW-BLK-KSwTIP-1PK,,,WS5-R5-A,BN,Envelope,,34.0,66.0,100.0,402.0,1 RAW Black King Size 32 Papers + Filter Tips - Extra Fine Natural Connoisseur,https://www.augoods.com.au/assets/thumb/MRK-RAW-BLK-KSwTIP-1PK.jpg,,29/03/2025,info.afgretail@gmail.com,"N84168,N84171,N84173,N84176,N84177,N84178,N84181,N84186,N84188,N84189,N84190,N84193,N84194,N84195,N84202,N84208,N84210,N84217,N84218,N84221,N84226,N84229,N84233,N84235"
2793.0,716165291480,,RAW-BLK-OH-114-1PK,SMOKING,,WS5-R5-C,BN,,,32.0,968.0,1000.0,1.0,1 RAW Black Ultra Thin 1 1/4 Paper Organic Hemp Natural Smoking 50 Leave Booklet,https://www.augoods.com.au/assets/thumb/XN-RAW-BLK-OH-114-1PK.jpg,,29/03/2025,info.afgretail@gmail.com,N84184
2795.0,716165291497,,RAW-BLK-OH-KS-1PK,SMOKING,,WS5-R5-C,BN,,,54.0,946.0,1000.0,3.0,1 RAW Black Ultra Thin KING SIZE Papers Organic Hemp Smoking 32 Leave Booklet,https://www.augoods.com.au/assets/thumb/XN-RAW-BLK-OH-KS-1PK.jpg,,23/03/2025,info.afgretail@gmail.com,"N83321,N83325,N83328,N83332,N83337,N83337,N83340,N83342,N83342,N83344,N83345,N83346,N83347,N83350,N83351,N83354,N83355,N83356,N83357,N83360,N83362,N83363,N83366,N83368,N83371,N83373,N83376,N83379,N83382,N83383,N83387,N83389,N83390,N83391,N83392,N83394,N83395,N83397,N83398,N83402,N83404,N83407,N83408,N83410,N83413,N83413,N83420,N83422,N83424,N83425,N83429,N83431,N83434,N83434,N83436,N83437,N83440,N83447,N83449,N83449,N83452,N83453,N83455,N83456,N83457,N83458,N83459,N83460,N83462,N83464,N83465,N83468,N83471,N83476,N83477,N83485,N83487,N83489,N83490,N83493,N83494,N83495,N83496,N83497,N83498,N83500,N83500,N83501,N83502,N83503,N83504,N83507,N83509,N83511,N83513,N83515,N83516"
2727.0,716165173663,,RAW-SWCL-1PK,SMOKING,,WS4-R4-C,BN,,,73.0,927.0,1000.0,1.0,1 RAW Single Wide CLASSIC Natural Rolling Papers Rolling Tobacco 50 Leaf Book,https://www.augoods.com.au/assets/thumb/MRK-RAW-SWCL-1PK.jpg,,23/03/2025,info.afgretail@gmail.com,"N83321,N83325,N83328,N83332,N83337,N83337,N83340,N83342,N83342,N83344,N83345,N83346,N83347,N83350,N83351,N83354,N83355,N83356,N83357,N83360,N83362,N83363,N83366,N83368,N83371,N83373,N83376,N83379,N83382,N83383,N83387,N83389,N83390,N83391,N83392,N83394,N83395,N83397,N83398,N83402,N83404,N83407,N83408,N83410,N83413,N83413,N83420,N83422,N83424,N83425,N83429,N83431,N83434,N83434,N83436,N83437,N83440,N83447,N83449,N83449,N83452,N83453,N83455,N83456,N83457,N83458,N83459,N83460,N83462,N83464,N83465,N83468,N83471,N83476,N83477,N83485,N83487,N83489,N83490,N83493,N83494,N83495,N83496,N83497,N83498,N83500,N83500,N83501,N83502,N83503,N83504,N83507,N83509,N83511,N83513,N83515,N83516"
3500.0,716165307433,,ELMNT-114-PNTM,,,WS7-R3-C,BN,Envelope,,2.0,48.0,50.0,51.0,1 x Elements Phantom 1 1/4 Size Rolling Paper Vegan Gum - 50 Leaves,https://www.augoods.com.au/assets/thumb/PWUS-ELMNT-114-PNTM-1PK.jpg,,21/03/2025,info.afgretail@gmail.com,"N83183,N83191,N83192,N83193,N83194,N83195,N83196,N83205,N83206,N83208,N83211,N83212,N83213,N83217,N83221,N83222,N83225,N83227,N83237,N83239,N83240,N83241,N83243,N83244,N83245,N83248,N83250,N83252,N83253,N83256,N83258,N83258,N83258,N83260,N83262,N83264,N83266,N83268,N83269,N83270,N83271,N83272,N83273,N83282,N83284,N83286,N83289,N83290,N83292,N83293,N83296,N83297,N83299,N83305,N83305,N83305,N83305"
3493.0,716165307419,,ELMNTS-PNTM-KS-1PK,,,WS7-R3-C,BN,Envelope,,2.0,48.0,50.0,2.0,1 x Elements Phantom King Size Rolling Paper Vegan Gum - 32 Leaves,https://www.augoods.com.au/assets/thumb/PWUS-ELMNTS-PNTM-KS-1PK.jpg,,29/03/2025,info.afgretail@gmail.com,N84227
3092.0,746935810054,,ENUFFLFL-6PK,,,WS0-R7-B,BN,O,,368.0,3132.0,3500.0,1.0,1 x Enuff Premium Lighter FLUID Butane Jet Torch Genuine Gas Refill 300ml Universal,https://www.augoods.com.au/assets/thumb/CK-ENUFFLFL-1PK.jpg,,29/03/2025,info.afgretail@gmail.com,N84180
3224.0,86400130424,,2EBT2790,,,WS7-R2-C,BN,Envelope,,10.0,90.0,100.0,10.0,1 x Houseplant OCB Classic 1 1/4 Rolling Papers + Tips by Seth Rogan,https://www.augoods.com.au/assets/thumb/PWUS-OCBHP-114wTIP-1PK.png,,21/03/2025,info.afgretail@gmail.com,N83305
